Book_ID,Title,Author,GenRev_Similarity_Score
50,The People vs. Alex Cross,James Patterson,0.67
36,The Fall of Gondolin,J.R.R. Tolkien,0.67
5,The Institute,Stephen King,0.67
48,Fire & Blood,George R.R. Martin,0.67
37,Leverage in Death,J.D. Robb,0.67
24,I've Got My Eyes on You,Mary Higgins Clark,0.67
36,The Fall of Gondolin,J.R.R. Tolkien,0.67
34,Tailspin,Sandra Brown,0.67
23,The Disappeared,C.J. Box,0.66
19,Dark in Death,J.D. Robb,0.66
4,The Water Dancer,Ta-Nehisi Coates,0.66
23,The Disappeared,C.J. Box,0.66
36,The Fall of Gondolin,J.R.R. Tolkien,0.66
36,The Fall of Gondolin,J.R.R. Tolkien,0.66
16,Twisted Twenty-Six,Janet Evanovich,0.66
33,Thrawn: Alliances,Timothy Zahn,0.66
4,The Water Dancer,Ta-Nehisi Coates,0.66
21,The Rising Sea,Clive Cussler,0.66
33,Thrawn: Alliances,Timothy Zahn,0.66
30,The Outsider,Stephen King,0.66
21,The Rising Sea,Clive Cussler,0.66
3,The 19th Christmas,James Patterson,0.66
12,Summer of '69,Elin Hilderbrand,0.66
12,Summer of '69,Elin Hilderbrand,0.66
40,An Absolutely Remarkable Thing,Hank Green,0.66
35,Texas Ranger,James Patterson,0.66
50,The People vs. Alex Cross,James Patterson,0.66
30,The Outsider,Stephen King,0.66
48,Fire & Blood,George R.R. Martin,0.66
35,Texas Ranger,James Patterson,0.66
25,Circe,Madeline Miller,0.66
3,The 19th Christmas,James Patterson,0.66
20,The Great Alone,Kristin Hannah,0.66
2,Where the Crawdads Sing,Delia Owens,0.66
25,Circe,Madeline Miller,0.66
5,The Institute,Stephen King,0.66
25,Circe,Madeline Miller,0.66
25,Circe,Madeline Miller,0.66
25,Circe,Madeline Miller,0.66
34,Tailspin,Sandra Brown,0.66
4,The Water Dancer,Ta-Nehisi Coates,0.66
25,Circe,Madeline Miller,0.66
6,The Testaments,Margaret Atwood,0.66
27,Twisted Prey,John Sandford,0.66
5,The Institute,Stephen King,0.66
20,The Great Alone,Kristin Hannah,0.66
5,The Institute,Stephen King,0.66
25,Circe,Madeline Miller,0.66
18,The Woman in the Window,A.J. Finn,0.66
25,Circe,Madeline Miller,0.66
29,The Cast,Danielle Steel,0.66
47,Look Alive Twenty-Five,Janet Evanovich,0.66
4,The Water Dancer,Ta-Nehisi Coates,0.66
25,Circe,Madeline Miller,0.66
30,The Outsider,Stephen King,0.66
35,Texas Ranger,James Patterson,0.66
19,Dark in Death,J.D. Robb,0.66
27,Twisted Prey,John Sandford,0.66
25,Circe,Madeline Miller,0.66
32,The Other Woman,Daniel Silva,0.66
5,The Institute,Stephen King,0.66
17,Kingdom of the Blind,Louise Penny,0.66
21,The Rising Sea,Clive Cussler,0.66
43,Every Breath,Nicholas Sparks,0.66
9,An Anonymous Girl,Greer Hendricks,0.66
8,Blue Moon,Lee Child,0.66
18,The Woman in the Window,A.J. Finn,0.66
21,The Rising Sea,Clive Cussler,0.66
8,Blue Moon,Lee Child,0.66
19,Dark in Death,J.D. Robb,0.66
48,Fire & Blood,George R.R. Martin,0.66
19,Dark in Death,J.D. Robb,0.66
2,Where the Crawdads Sing,Delia Owens,0.66
21,The Rising Sea,Clive Cussler,0.66
36,The Fall of Gondolin,J.R.R. Tolkien,0.66
22,Accidental Heroes,Danielle Steel,0.66
16,Twisted Twenty-Six,Janet Evanovich,0.66
14,One Good Deed,David Baldacci,0.66
36,The Fall of Gondolin,J.R.R. Tolkien,0.66
21,The Rising Sea,Clive Cussler,0.66
31,The President Is Missing,Bill Clinton,0.66
36,The Fall of Gondolin,J.R.R. Tolkien,0.66
14,One Good Deed,David Baldacci,0.66
36,The Fall of Gondolin,J.R.R. Tolkien,0.66
21,The Rising Sea,Clive Cussler,0.65
34,Tailspin,Sandra Brown,0.65
2,Where the Crawdads Sing,Delia Owens,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
37,Leverage in Death,J.D. Robb,0.65
39,Lethal White,Robert Galbraith,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
17,Kingdom of the Blind,Louise Penny,0.65
11,Redemption,David Baldacci,0.65
5,The Institute,Stephen King,0.65
32,The Other Woman,Daniel Silva,0.65
21,The Rising Sea,Clive Cussler,0.65
33,Thrawn: Alliances,Timothy Zahn,0.65
13,The New Girl,Daniel Silva,0.65
25,Circe,Madeline Miller,0.65
47,Look Alive Twenty-Five,Janet Evanovich,0.65
22,Accidental Heroes,Danielle Steel,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
5,The Institute,Stephen King,0.65
28,The 17th Suspect,James Patterson,0.65
20,The Great Alone,Kristin Hannah,0.65
21,The Rising Sea,Clive Cussler,0.65
10,The Silent Patient,Alex Michaelides,0.65
22,Accidental Heroes,Danielle Steel,0.65
29,The Cast,Danielle Steel,0.65
20,The Great Alone,Kristin Hannah,0.65
25,Circe,Madeline Miller,0.65
26,The Fallen,David Baldacci,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
34,Tailspin,Sandra Brown,0.65
32,The Other Woman,Daniel Silva,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
24,I've Got My Eyes on You,Mary Higgins Clark,0.65
40,An Absolutely Remarkable Thing,Hank Green,0.65
31,The President Is Missing,Bill Clinton,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
21,The Rising Sea,Clive Cussler,0.65
46,Past Tense,Lee Child,0.65
45,Elevation,Stephen King,0.65
19,Dark in Death,J.D. Robb,0.65
34,Tailspin,Sandra Brown,0.65
30,The Outsider,Stephen King,0.65
13,The New Girl,Daniel Silva,0.65
21,The Rising Sea,Clive Cussler,0.65
21,The Rising Sea,Clive Cussler,0.65
25,Circe,Madeline Miller,0.65
20,The Great Alone,Kristin Hannah,0.65
49,Oathbringer,Brandon Sanderson,0.65
38,Juror #3,James Patterson,0.65
7,The Night Fire,Michael Connelly,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
11,Redemption,David Baldacci,0.65
34,Tailspin,Sandra Brown,0.65
11,Redemption,David Baldacci,0.65
12,Summer of '69,Elin Hilderbrand,0.65
17,Kingdom of the Blind,Louise Penny,0.65
30,The Outsider,Stephen King,0.65
23,The Disappeared,C.J. Box,0.65
32,The Other Woman,Daniel Silva,0.65
21,The Rising Sea,Clive Cussler,0.65
25,Circe,Madeline Miller,0.65
2,Where the Crawdads Sing,Delia Owens,0.65
14,One Good Deed,David Baldacci,0.65
25,Circe,Madeline Miller,0.65
33,Thrawn: Alliances,Timothy Zahn,0.65
20,The Great Alone,Kristin Hannah,0.65
33,Thrawn: Alliances,Timothy Zahn,0.65
7,The Night Fire,Michael Connelly,0.65
30,The Outsider,Stephen King,0.65
14,One Good Deed,David Baldacci,0.65
48,Fire & Blood,George R.R. Martin,0.65
47,Look Alive Twenty-Five,Janet Evanovich,0.65
44,The Reckoning,John Grisham,0.65
39,Lethal White,Robert Galbraith,0.65
22,Accidental Heroes,Danielle Steel,0.65
37,Leverage in Death,J.D. Robb,0.65
48,Fire & Blood,George R.R. Martin,0.65
12,Summer of '69,Elin Hilderbrand,0.65
4,The Water Dancer,Ta-Nehisi Coates,0.65
39,Lethal White,Robert Galbraith,0.65
32,The Other Woman,Daniel Silva,0.65
30,The Outsider,Stephen King,0.65
10,The Silent Patient,Alex Michaelides,0.65
4,The Water Dancer,Ta-Nehisi Coates,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
1,The Guardians,John Grisham,0.65
28,The 17th Suspect,James Patterson,0.65
33,Thrawn: Alliances,Timothy Zahn,0.65
48,Fire & Blood,George R.R. Martin,0.65
48,Fire & Blood,George R.R. Martin,0.65
24,I've Got My Eyes on You,Mary Higgins Clark,0.65
3,The 19th Christmas,James Patterson,0.65
13,The New Girl,Daniel Silva,0.65
9,An Anonymous Girl,Greer Hendricks,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
50,The People vs. Alex Cross,James Patterson,0.65
13,The New Girl,Daniel Silva,0.65
48,Fire & Blood,George R.R. Martin,0.65
28,The 17th Suspect,James Patterson,0.65
8,Blue Moon,Lee Child,0.65
43,Every Breath,Nicholas Sparks,0.65
21,The Rising Sea,Clive Cussler,0.65
48,Fire & Blood,George R.R. Martin,0.65
43,Every Breath,Nicholas Sparks,0.65
32,The Other Woman,Daniel Silva,0.65
48,Fire & Blood,George R.R. Martin,0.65
4,The Water Dancer,Ta-Nehisi Coates,0.65
44,The Reckoning,John Grisham,0.65
30,The Outsider,Stephen King,0.65
19,Dark in Death,J.D. Robb,0.65
32,The Other Woman,Daniel Silva,0.65
38,Juror #3,James Patterson,0.65
4,The Water Dancer,Ta-Nehisi Coates,0.65
12,Summer of '69,Elin Hilderbrand,0.65
32,The Other Woman,Daniel Silva,0.65
29,The Cast,Danielle Steel,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
43,Every Breath,Nicholas Sparks,0.65
31,The President Is Missing,Bill Clinton,0.65
2,Where the Crawdads Sing,Delia Owens,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.65
47,Look Alive Twenty-Five,Janet Evanovich,0.65
50,The People vs. Alex Cross,James Patterson,0.65
15,A Better Man,Louise Penny,0.65
30,The Outsider,Stephen King,0.65
19,Dark in Death,J.D. Robb,0.65
24,I've Got My Eyes on You,Mary Higgins Clark,0.65
20,The Great Alone,Kristin Hannah,0.65
4,The Water Dancer,Ta-Nehisi Coates,0.65
2,Where the Crawdads Sing,Delia Owens,0.65
44,The Reckoning,John Grisham,0.65
43,Every Breath,Nicholas Sparks,0.65
4,The Water Dancer,Ta-Nehisi Coates,0.65
19,Dark in Death,J.D. Robb,0.65
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
43,Every Breath,Nicholas Sparks,0.64
18,The Woman in the Window,A.J. Finn,0.64
22,Accidental Heroes,Danielle Steel,0.64
31,The President Is Missing,Bill Clinton,0.64
7,The Night Fire,Michael Connelly,0.64
32,The Other Woman,Daniel Silva,0.64
28,The 17th Suspect,James Patterson,0.64
21,The Rising Sea,Clive Cussler,0.64
9,An Anonymous Girl,Greer Hendricks,0.64
45,Elevation,Stephen King,0.64
43,Every Breath,Nicholas Sparks,0.64
45,Elevation,Stephen King,0.64
45,Elevation,Stephen King,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
22,Accidental Heroes,Danielle Steel,0.64
8,Blue Moon,Lee Child,0.64
7,The Night Fire,Michael Connelly,0.64
45,Elevation,Stephen King,0.64
16,Twisted Twenty-Six,Janet Evanovich,0.64
21,The Rising Sea,Clive Cussler,0.64
26,The Fallen,David Baldacci,0.64
38,Juror #3,James Patterson,0.64
45,Elevation,Stephen King,0.64
21,The Rising Sea,Clive Cussler,0.64
17,Kingdom of the Blind,Louise Penny,0.64
34,Tailspin,Sandra Brown,0.64
8,Blue Moon,Lee Child,0.64
14,One Good Deed,David Baldacci,0.64
45,Elevation,Stephen King,0.64
1,The Guardians,John Grisham,0.64
45,Elevation,Stephen King,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
38,Juror #3,James Patterson,0.64
25,Circe,Madeline Miller,0.64
3,The 19th Christmas,James Patterson,0.64
26,The Fallen,David Baldacci,0.64
19,Dark in Death,J.D. Robb,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
19,Dark in Death,J.D. Robb,0.64
37,Leverage in Death,J.D. Robb,0.64
25,Circe,Madeline Miller,0.64
4,The Water Dancer,Ta-Nehisi Coates,0.64
4,The Water Dancer,Ta-Nehisi Coates,0.64
4,The Water Dancer,Ta-Nehisi Coates,0.64
3,The 19th Christmas,James Patterson,0.64
47,Look Alive Twenty-Five,Janet Evanovich,0.64
25,Circe,Madeline Miller,0.64
47,Look Alive Twenty-Five,Janet Evanovich,0.64
25,Circe,Madeline Miller,0.64
4,The Water Dancer,Ta-Nehisi Coates,0.64
19,Dark in Death,J.D. Robb,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
28,The 17th Suspect,James Patterson,0.64
3,The 19th Christmas,James Patterson,0.64
3,The 19th Christmas,James Patterson,0.64
32,The Other Woman,Daniel Silva,0.64
32,The Other Woman,Daniel Silva,0.64
25,Circe,Madeline Miller,0.64
48,Fire & Blood,George R.R. Martin,0.64
48,Fire & Blood,George R.R. Martin,0.64
4,The Water Dancer,Ta-Nehisi Coates,0.64
48,Fire & Blood,George R.R. Martin,0.64
48,Fire & Blood,George R.R. Martin,0.64
37,Leverage in Death,J.D. Robb,0.64
4,The Water Dancer,Ta-Nehisi Coates,0.64
4,The Water Dancer,Ta-Nehisi Coates,0.64
37,Leverage in Death,J.D. Robb,0.64
47,Look Alive Twenty-Five,Janet Evanovich,0.64
48,Fire & Blood,George R.R. Martin,0.64
47,Look Alive Twenty-Five,Janet Evanovich,0.64
20,The Great Alone,Kristin Hannah,0.64
25,Circe,Madeline Miller,0.64
46,Past Tense,Lee Child,0.64
15,A Better Man,Louise Penny,0.64
6,The Testaments,Margaret Atwood,0.64
6,The Testaments,Margaret Atwood,0.64
25,Circe,Madeline Miller,0.64
22,Accidental Heroes,Danielle Steel,0.64
38,Juror #3,James Patterson,0.64
25,Circe,Madeline Miller,0.64
34,Tailspin,Sandra Brown,0.64
25,Circe,Madeline Miller,0.64
6,The Testaments,Margaret Atwood,0.64
34,Tailspin,Sandra Brown,0.64
6,The Testaments,Margaret Atwood,0.64
6,The Testaments,Margaret Atwood,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
5,The Institute,Stephen King,0.64
20,The Great Alone,Kristin Hannah,0.64
26,The Fallen,David Baldacci,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
5,The Institute,Stephen King,0.64
5,The Institute,Stephen King,0.64
5,The Institute,Stephen King,0.64
5,The Institute,Stephen King,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
18,The Woman in the Window,A.J. Finn,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
49,Oathbringer,Brandon Sanderson,0.64
34,Tailspin,Sandra Brown,0.64
25,Circe,Madeline Miller,0.64
25,Circe,Madeline Miller,0.64
32,The Other Woman,Daniel Silva,0.64
38,Juror #3,James Patterson,0.64
13,The New Girl,Daniel Silva,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
23,The Disappeared,C.J. Box,0.64
35,Texas Ranger,James Patterson,0.64
39,Lethal White,Robert Galbraith,0.64
13,The New Girl,Daniel Silva,0.64
30,The Outsider,Stephen King,0.64
32,The Other Woman,Daniel Silva,0.64
30,The Outsider,Stephen King,0.64
20,The Great Alone,Kristin Hannah,0.64
13,The New Girl,Daniel Silva,0.64
27,Twisted Prey,John Sandford,0.64
2,Where the Crawdads Sing,Delia Owens,0.64
42,The Next Person You Meet in Heaven,Mitch Albom,0.64
40,An Absolutely Remarkable Thing,Hank Green,0.64
39,Lethal White,Robert Galbraith,0.64
20,The Great Alone,Kristin Hannah,0.64
13,The New Girl,Daniel Silva,0.64
10,The Silent Patient,Alex Michaelides,0.64
49,Oathbringer,Brandon Sanderson,0.64
2,Where the Crawdads Sing,Delia Owens,0.64
42,The Next Person You Meet in Heaven,Mitch Albom,0.64
12,Summer of '69,Elin Hilderbrand,0.64
23,The Disappeared,C.J. Box,0.64
21,The Rising Sea,Clive Cussler,0.64
13,The New Girl,Daniel Silva,0.64
13,The New Girl,Daniel Silva,0.64
21,The Rising Sea,Clive Cussler,0.64
2,Where the Crawdads Sing,Delia Owens,0.64
16,Twisted Twenty-Six,Janet Evanovich,0.64
13,The New Girl,Daniel Silva,0.64
13,The New Girl,Daniel Silva,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
40,An Absolutely Remarkable Thing,Hank Green,0.64
12,Summer of '69,Elin Hilderbrand,0.64
40,An Absolutely Remarkable Thing,Hank Green,0.64
30,The Outsider,Stephen King,0.64
39,Lethal White,Robert Galbraith,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
21,The Rising Sea,Clive Cussler,0.64
30,The Outsider,Stephen King,0.64
9,An Anonymous Girl,Greer Hendricks,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
23,The Disappeared,C.J. Box,0.64
16,Twisted Twenty-Six,Janet Evanovich,0.64
22,Accidental Heroes,Danielle Steel,0.64
40,An Absolutely Remarkable Thing,Hank Green,0.64
16,Twisted Twenty-Six,Janet Evanovich,0.64
22,Accidental Heroes,Danielle Steel,0.64
13,The New Girl,Daniel Silva,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
16,Twisted Twenty-Six,Janet Evanovich,0.64
30,The Outsider,Stephen King,0.64
40,An Absolutely Remarkable Thing,Hank Green,0.64
26,The Fallen,David Baldacci,0.64
11,Redemption,David Baldacci,0.64
30,The Outsider,Stephen King,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
30,The Outsider,Stephen King,0.64
39,Lethal White,Robert Galbraith,0.64
40,An Absolutely Remarkable Thing,Hank Green,0.64
39,Lethal White,Robert Galbraith,0.64
43,Every Breath,Nicholas Sparks,0.64
50,The People vs. Alex Cross,James Patterson,0.64
43,Every Breath,Nicholas Sparks,0.64
43,Every Breath,Nicholas Sparks,0.64
13,The New Girl,Daniel Silva,0.64
35,Texas Ranger,James Patterson,0.64
10,The Silent Patient,Alex Michaelides,0.64
17,Kingdom of the Blind,Louise Penny,0.64
13,The New Girl,Daniel Silva,0.64
35,Texas Ranger,James Patterson,0.64
39,Lethal White,Robert Galbraith,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
9,An Anonymous Girl,Greer Hendricks,0.64
35,Texas Ranger,James Patterson,0.64
13,The New Girl,Daniel Silva,0.64
35,Texas Ranger,James Patterson,0.64
36,The Fall of Gondolin,J.R.R. Tolkien,0.64
39,Lethal White,Robert Galbraith,0.64
13,The New Girl,Daniel Silva,0.64
38,Juror #3,James Patterson,0.64
43,Every Breath,Nicholas Sparks,0.64
13,The New Girl,Daniel Silva,0.64
13,The New Girl,Daniel Silva,0.64
19,Dark in Death,J.D. Robb,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
25,Circe,Madeline Miller,0.63
21,The Rising Sea,Clive Cussler,0.63
12,Summer of '69,Elin Hilderbrand,0.63
37,Leverage in Death,J.D. Robb,0.63
5,The Institute,Stephen King,0.63
19,Dark in Death,J.D. Robb,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
13,The New Girl,Daniel Silva,0.63
21,The Rising Sea,Clive Cussler,0.63
5,The Institute,Stephen King,0.63
25,Circe,Madeline Miller,0.63
47,Look Alive Twenty-Five,Janet Evanovich,0.63
25,Circe,Madeline Miller,0.63
37,Leverage in Death,J.D. Robb,0.63
25,Circe,Madeline Miller,0.63
39,Lethal White,Robert Galbraith,0.63
5,The Institute,Stephen King,0.63
5,The Institute,Stephen King,0.63
33,Thrawn: Alliances,Timothy Zahn,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
13,The New Girl,Daniel Silva,0.63
37,Leverage in Death,J.D. Robb,0.63
25,Circe,Madeline Miller,0.63
47,Look Alive Twenty-Five,Janet Evanovich,0.63
19,Dark in Death,J.D. Robb,0.63
37,Leverage in Death,J.D. Robb,0.63
5,The Institute,Stephen King,0.63
11,Redemption,David Baldacci,0.63
5,The Institute,Stephen King,0.63
13,The New Girl,Daniel Silva,0.63
12,Summer of '69,Elin Hilderbrand,0.63
37,Leverage in Death,J.D. Robb,0.63
33,Thrawn: Alliances,Timothy Zahn,0.63
32,The Other Woman,Daniel Silva,0.63
19,Dark in Death,J.D. Robb,0.63
5,The Institute,Stephen King,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
5,The Institute,Stephen King,0.63
12,Summer of '69,Elin Hilderbrand,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
22,Accidental Heroes,Danielle Steel,0.63
5,The Institute,Stephen King,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
30,The Outsider,Stephen King,0.63
37,Leverage in Death,J.D. Robb,0.63
12,Summer of '69,Elin Hilderbrand,0.63
5,The Institute,Stephen King,0.63
23,The Disappeared,C.J. Box,0.63
13,The New Girl,Daniel Silva,0.63
39,Lethal White,Robert Galbraith,0.63
3,The 19th Christmas,James Patterson,0.63
13,The New Girl,Daniel Silva,0.63
48,Fire & Blood,George R.R. Martin,0.63
20,The Great Alone,Kristin Hannah,0.63
39,Lethal White,Robert Galbraith,0.63
12,Summer of '69,Elin Hilderbrand,0.63
47,Look Alive Twenty-Five,Janet Evanovich,0.63
32,The Other Woman,Daniel Silva,0.63
28,The 17th Suspect,James Patterson,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
21,The Rising Sea,Clive Cussler,0.63
39,Lethal White,Robert Galbraith,0.63
39,Lethal White,Robert Galbraith,0.63
16,Twisted Twenty-Six,Janet Evanovich,0.63
19,Dark in Death,J.D. Robb,0.63
32,The Other Woman,Daniel Silva,0.63
32,The Other Woman,Daniel Silva,0.63
16,Twisted Twenty-Six,Janet Evanovich,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
13,The New Girl,Daniel Silva,0.63
13,The New Girl,Daniel Silva,0.63
47,Look Alive Twenty-Five,Janet Evanovich,0.63
39,Lethal White,Robert Galbraith,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
19,Dark in Death,J.D. Robb,0.63
33,Thrawn: Alliances,Timothy Zahn,0.63
39,Lethal White,Robert Galbraith,0.63
15,A Better Man,Louise Penny,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
25,Circe,Madeline Miller,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
47,Look Alive Twenty-Five,Janet Evanovich,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
30,The Outsider,Stephen King,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
15,A Better Man,Louise Penny,0.63
12,Summer of '69,Elin Hilderbrand,0.63
39,Lethal White,Robert Galbraith,0.63
13,The New Girl,Daniel Silva,0.63
33,Thrawn: Alliances,Timothy Zahn,0.63
13,The New Girl,Daniel Silva,0.63
25,Circe,Madeline Miller,0.63
39,Lethal White,Robert Galbraith,0.63
32,The Other Woman,Daniel Silva,0.63
15,A Better Man,Louise Penny,0.63
36,The Fall of Gondolin,J.R.R. Tolkien,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
19,Dark in Death,J.D. Robb,0.63
13,The New Girl,Daniel Silva,0.63
39,Lethal White,Robert Galbraith,0.63
48,Fire & Blood,George R.R. Martin,0.63
16,Twisted Twenty-Six,Janet Evanovich,0.63
4,The Water Dancer,Ta-Nehisi Coates,0.63
20,The Great Alone,Kristin Hannah,0.63
33,Thrawn: Alliances,Timothy Zahn,0.63
37,Leverage in Death,J.D. Robb,0.63
16,Twisted Twenty-Six,Janet Evanovich,0.63
47,Look Alive Twenty-Five,Janet Evanovich,0.63
