Book_ID,Title,Author,GenRev_Similarity_Score
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
82,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
57,Unfreedom of the Press,Mark R. Levin,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
68,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,Michael Isikoff,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
89,Trump's War: His Battle for America,Michael Savage,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
81,Fear: Trump in the White House,Bob Woodward,0.69
68,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,Michael Isikoff,0.69
57,Unfreedom of the Press,Mark R. Levin,0.69
79,Unhinged: An Insider's Account of the Trump White House,Omarosa Manigault Newman,0.69
65,Triggered: How the Left Thrives on Hate and Wants to Silence Us,Donald Trump Jr.,0.69
57,Unfreedom of the Press,Mark R. Levin,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
68,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,Michael Isikoff,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
97,Rediscovering Americanism: And the Tyranny of Progressivism,Mark R. Levin,0.69
57,Unfreedom of the Press,Mark R. Levin,0.69
96,Understanding Trump,Newt Gingrich,0.69
82,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,0.69
81,Fear: Trump in the White House,Bob Woodward,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
96,Understanding Trump,Newt Gingrich,0.69
62,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",Rachel  Maddow,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
94,"Al Franken, Giant of the Senate",Al Franken,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
100,Killing England: The Brutal Struggle for American Independence,Bill O'Reilly,0.69
82,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
86,Becoming,Michelle Obama,0.69
81,Fear: Trump in the White House,Bob Woodward,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
81,Fear: Trump in the White House,Bob Woodward,0.69
89,Trump's War: His Battle for America,Michael Savage,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
82,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,0.69
57,Unfreedom of the Press,Mark R. Levin,0.69
55,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,David McCullough,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
57,Unfreedom of the Press,Mark R. Levin,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
100,Killing England: The Brutal Struggle for American Independence,Bill O'Reilly,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
66,Grant,Ron Chernow,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
94,"Al Franken, Giant of the Senate",Al Franken,0.69
94,"Al Franken, Giant of the Senate",Al Franken,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
97,Rediscovering Americanism: And the Tyranny of Progressivism,Mark R. Levin,0.69
82,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,0.69
56,Howard Stern Comes Again,Howard Stern,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
66,Grant,Ron Chernow,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
66,Grant,Ron Chernow,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
66,Grant,Ron Chernow,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
66,Grant,Ron Chernow,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
66,Grant,Ron Chernow,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
97,Rediscovering Americanism: And the Tyranny of Progressivism,Mark R. Levin,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
88,Portraits of Courage: A Commander in Chief's Tribute to America's Warriors,George W. Bush,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
97,Rediscovering Americanism: And the Tyranny of Progressivism,Mark R. Levin,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
65,Triggered: How the Left Thrives on Hate and Wants to Silence Us,Donald Trump Jr.,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
79,Unhinged: An Insider's Account of the Trump White House,Omarosa Manigault Newman,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
82,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
66,Grant,Ron Chernow,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
81,Fear: Trump in the White House,Bob Woodward,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
62,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",Rachel  Maddow,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
76,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",Dan Pfeiffer,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
66,Grant,Ron Chernow,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
96,Understanding Trump,Newt Gingrich,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
81,Fear: Trump in the White House,Bob Woodward,0.69
81,Fear: Trump in the White House,Bob Woodward,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
96,Understanding Trump,Newt Gingrich,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
96,Understanding Trump,Newt Gingrich,0.69
66,Grant,Ron Chernow,0.69
96,Understanding Trump,Newt Gingrich,0.69
94,"Al Franken, Giant of the Senate",Al Franken,0.69
96,Understanding Trump,Newt Gingrich,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
66,Grant,Ron Chernow,0.69
67,Fire and Fury: Inside the Trump White House,Michael Wolff,0.69
96,Understanding Trump,Newt Gingrich,0.69
79,Unhinged: An Insider's Account of the Trump White House,Omarosa Manigault Newman,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
79,Unhinged: An Insider's Account of the Trump White House,Omarosa Manigault Newman,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
84,Shade: A Tale of Two Presidents,Pete Souza,0.69
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
65,Triggered: How the Left Thrives on Hate and Wants to Silence Us,Donald Trump Jr.,0.69
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.69
70,Fascism: A Warning,Madeleine K. Albright,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.69
91,This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,0.69
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.69
72,The Soul of America: The Battle for Our Better Angels,Jon Meacham,0.69
